,baseMean,log2FoldChange,padj,seed_ortholog,evalue,score,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KO definition,KEGG_Pathway,significant
NODE_99996_length_210_cov_1.238710_1,2763.97856331203,-16.7878992571349,1.08226659631806e-27,203124.Tery_2996,8.95e-34,82.0,120.0,"COG0098@1|root,COG0098@2|Bacteria,1G1EF@1117|Cyanobacteria,1H7SH@1150|Oscillatoriales",1117|Cyanobacteria,J,Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body,rps5,"GO:0003674,GO:0003735,GO:0005198,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0071704,GO:1901564,GO:1901566,GO:1901576",-,ko:K02988,small subunit ribosomal protein S5,"ko03010,map03010",Significant
NODE_91273_length_218_cov_1.766871_1,7392.20396677798,-16.7591427052161,8.09506982301725e-27,203124.Tery_0650,1.7599999999999998e-24,,101.0,"COG2197@1|root,COG2197@2|Bacteria,1G0JW@1117|Cyanobacteria,1H6ZF@1150|Oscillatoriales",1117|Cyanobacteria,KT,response regulator,-,-,-,-,,-,Significant
NODE_14834_length_374_cov_1.699060_1,7134.87934681974,-16.7218601578749,1.5353449675836e-28,46234.ANA_C10615,3.82e-21,76.5,91.3,"COG3258@1|root,COG3258@2|Bacteria,1G07V@1117|Cyanobacteria,1HJ14@1161|Nostocales",1117|Cyanobacteria,C,"Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions",petA,"GO:0005575,GO:0005622,GO:0005623,GO:0009512,GO:0009579,GO:0032991,GO:0044424,GO:0044436,GO:0044464,GO:0070069",-,ko:K02634,apocytochrome f,"ko00195,ko01100,map00195,map01100",Significant
NODE_32626_length_277_cov_1.288288_1,2526.07018288283,-16.6569135284374,7.1848640667259995e-28,203124.Tery_2883,8.28e-53,152.8,167.0,"2AK12@1|root,31AQM@2|Bacteria,1G6KY@1117|Cyanobacteria,1HBHP@1150|Oscillatoriales",1117|Cyanobacteria,C,"electron donor, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory and or the photosynthetic chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient. Cyanobacterial NDH-1 also plays a role in inorganic carbon- concentration",ndhM,-,1.6.5.3,ko:K05584,NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2],"ko00190,ko01100,map00190,map01100",Significant
NODE_71785_length_236_cov_2.099448_1,2396.7371746354,-16.5815731214113,5.63157014513668e-28,203124.Tery_2210,4.67e-38,125.6,141.0,"COG0237@1|root,COG0448@1|root,COG0237@2|Bacteria,COG0448@2|Bacteria,1G0CU@1117|Cyanobacteria,1H8A2@1150|Oscillatoriales",1117|Cyanobacteria,GH,Belongs to the phycobilisome linker protein family,apcE,"GO:0005575,GO:0005622,GO:0005623,GO:0009579,GO:0016020,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464",-,ko:K02096,phycobilisome core-membrane linker protein,"ko00196,ko01100,map00196,map01100",Significant
NODE_96727_length_213_cov_1.215190_1,2285.87622318664,-16.5145691871446,7.63948771764348e-27,926560.KE387023_gene1442,2.6800000000000003e-21,81.7,93.2,"COG0189@1|root,COG0769@1|root,COG0189@2|Bacteria,COG0769@2|Bacteria,1WM7H@1297|Deinococcus-Thermus",1297|Deinococcus-Thermus,HJM,RimK-like ATP-grasp domain,-,-,"6.3.2.29,6.3.2.30",ko:K03802,cyanophycin synthetase [EC:6.3.2.29 6.3.2.30],-,Significant
NODE_83498_length_225_cov_5.282353_1,2254.67407900361,-16.4932496876581,3.75898116836176e-27,203124.Tery_3727,5.24e-38,,131.0,"COG1714@1|root,COG1714@2|Bacteria,1G6WQ@1117|Cyanobacteria,1HCFM@1150|Oscillatoriales",1117|Cyanobacteria,S,pfam rdd,-,-,-,-,,-,Significant
NODE_6546_length_562_cov_2.080868_1,2173.20407410533,-16.4411094363968,4.48240686753026e-27,118161.KB235922_gene5038,4.6200000000000003e-35,81.9,128.0,"COG1281@1|root,COG1281@2|Bacteria,1G137@1117|Cyanobacteria,3VHNU@52604|Pleurocapsales",1117|Cyanobacteria,O,Redox regulated molecular chaperone. Protects both thermally unfolding and oxidatively damaged proteins from irreversible aggregation. Plays an important role in the bacterial defense system toward oxidative stress,hslO,-,-,ko:K04083,molecular chaperone Hsp33,-,Significant
NODE_11699_length_417_cov_1.803867_1,2109.4790122882,-16.3974500924849,1.57423934667303e-26,203124.Tery_0792,4.26e-22,58.6,94.4,"COG0068@1|root,COG0068@2|Bacteria,1G063@1117|Cyanobacteria,1H71F@1150|Oscillatoriales",1117|Cyanobacteria,O,Belongs to the carbamoyltransferase HypF family,hypF,-,-,ko:K04656,hydrogenase maturation protein HypF,-,Significant
NODE_20341_length_327_cov_1.198529_1,2103.30391966855,-16.3937088762779,2.1091898637599498e-27,203124.Tery_4156,8.96e-68,184.7,210.0,"28HFN@1|root,2Z7RN@2|Bacteria,1G0TX@1117|Cyanobacteria,1H70P@1150|Oscillatoriales",1117|Cyanobacteria,Q,Catalyzes the four-electron reduction of biliverdin IX- alpha (2-electron reduction at both the A and D rings),pcyA,-,1.3.7.5,ko:K05371,phycocyanobilin:ferredoxin oxidoreductase [EC:1.3.7.5],"ko00860,ko01110,map00860,map01110",Significant
NODE_54983_length_252_cov_2.096447_1,2073.66476908271,-16.3717171594841,2.89810570655382e-26,203124.Tery_3949,9.080000000000001e-43,,139.0,"2E3FF@1|root,32YE9@2|Bacteria,1G8ZY@1117|Cyanobacteria,1HCW2@1150|Oscillatoriales",1117|Cyanobacteria,-,-,-,-,-,-,,-,Significant
NODE_47390_length_260_cov_0.936585_1,2067.94444999932,-16.3685346206132,1.5239929717287299e-26,203124.Tery_2431,1.0699999999999998e-52,,166.0,"2CD6H@1|root,32RX4@2|Bacteria,1G7WV@1117|Cyanobacteria,1HCDR@1150|Oscillatoriales",1117|Cyanobacteria,S,Protein of unknown function (DUF3143),-,-,-,-,,-,Significant
NODE_27965_length_286_cov_2.783550_1,2054.26406304385,-16.3598058020589,3.62252003043283e-27,203124.Tery_1531,3.5e-41,,146.0,"2CD2R@1|root,32RWX@2|Bacteria,1G8KF@1117|Cyanobacteria,1HAW4@1150|Oscillatoriales",1117|Cyanobacteria,S,Family of unknown function (DUF5331),-,-,-,-,,-,Significant
NODE_80317_length_229_cov_1.011494_1,2052.82413538982,-16.3592462671496,5.08266578962782e-27,203124.Tery_3424,2.6200000000000003e-27,,100.0,"COG3937@1|root,COG3937@2|Bacteria,1G7SE@1117|Cyanobacteria,1HC67@1150|Oscillatoriales",1117|Cyanobacteria,S,granule-associated protein,-,-,-,-,,-,Significant
NODE_28021_length_286_cov_1.770563_1,2054.92087668372,-16.3587073886749,5.63584134638063e-26,240292.Ava_4952,8.18e-18,,82.4,"COG0498@1|root,COG0498@2|Bacteria,1G0SV@1117|Cyanobacteria,1HJQI@1161|Nostocales",1117|Cyanobacteria,E,Threonine synthase,-,-,4.2.3.1,ko:K01733,,"ko00260,ko00750,ko01100,ko01110,ko01120,ko01230,map00260,map00750,map01100,map01110,map01120,map01230",Significant
NODE_24732_length_298_cov_4.522634_1,2034.30716378552,-16.345085197912,1.19095634122756e-26,203124.Tery_0471,1.3600000000000002e-57,139.6,180.0,"COG0662@1|root,COG0662@2|Bacteria,1G5UF@1117|Cyanobacteria,1HB1S@1150|Oscillatoriales",1117|Cyanobacteria,G,mannose-6-phosphate isomerase,-,-,5.3.1.8,ko:K01809,mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase [EC:2.7.7.13 5.3.1.8],"ko00051,ko00520,ko01100,ko01110,ko01130,map00051,map00520,map01100,map01110,map01130",Significant
NODE_30447_length_280_cov_1.671111_1,2020.03257759828,-16.3364281183691,6.54033086269507e-27,203124.Tery_2427,3.34e-20,48.8,84.0,"COG0484@1|root,COG0484@2|Bacteria,1G5QV@1117|Cyanobacteria,1HAZV@1150|Oscillatoriales",1117|Cyanobacteria,O,DnaJ-class molecular chaperone with C-terminal Zn finger domain,-,-,-,-,DnaJ homolog subfamily C member 4,-,Significant
NODE_18084_length_344_cov_2.757785_1,1962.25324836015,-16.2943168831845,9.24221867402621e-24,203124.Tery_4731,1e-64,71.0,209.0,"COG3344@1|root,COG3344@2|Bacteria,1G065@1117|Cyanobacteria,1HADY@1150|Oscillatoriales",1117|Cyanobacteria,L,Reverse transcriptase (RNA-dependent DNA polymerase),-,-,2.7.7.49,ko:K00986,RNA-directed DNA polymerase [EC:2.7.7.49],-,Significant
NODE_12256_length_407_cov_3.048295_1,1901.61973079776,-16.2487500771297,1.9392237342834798e-26,203124.Tery_2942,4.15e-58,158.5,192.0,"COG0141@1|root,COG0141@2|Bacteria,1G1I2@1117|Cyanobacteria,1H8MU@1150|Oscillatoriales",1117|Cyanobacteria,E,Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine,hisD,"GO:0000105,GO:0003674,GO:0003824,GO:0004399,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006547,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009987,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0018130,GO:0019438,GO:0019752,GO:0034641,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0052803,GO:0055114,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",1.1.1.23,ko:K00013,histidinol dehydrogenase [EC:1.1.1.23],"ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230",Significant
NODE_9552_length_461_cov_1.549261_1,5132.73169076332,-16.245511497869,8.745944143235e-28,203124.Tery_0160,1.58e-74,,233.0,"28KJ7@1|root,2ZA4B@2|Bacteria,1G3HD@1117|Cyanobacteria,1HA3M@1150|Oscillatoriales",1117|Cyanobacteria,-,-,-,-,-,-,,-,Significant
NODE_17910_length_346_cov_0.883162_1,1893.40069873476,-16.2424778627099,7.21852917798861e-27,203124.Tery_5036,2.5699999999999997e-53,,175.0,"COG0457@1|root,COG0457@2|Bacteria,1G0BJ@1117|Cyanobacteria,1H956@1150|Oscillatoriales",1117|Cyanobacteria,S,Tetratricopeptide repeat,-,-,-,-,,-,Significant
NODE_53102_length_254_cov_1.668342_1,5122.81760113097,-16.241347074118,2.39098267153996e-28,203124.Tery_0659,7.81e-45,70.6,157.0,"COG1008@1|root,COG1008@2|Bacteria,1G0AX@1117|Cyanobacteria,1H94V@1150|Oscillatoriales",1117|Cyanobacteria,C,"NDH-1 shuttles electrons from NAD(P)H, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",ndhD,-,1.6.5.3,ko:K05575,NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2],"ko00190,ko01100,map00190,map01100",Significant
NODE_44512_length_263_cov_1.370192_1,1844.44086354792,-16.2025951333091,5.52080521368719e-26,313612.L8106_18986,5.18e-44,68.2,155.0,"COG0143@1|root,COG0143@2|Bacteria,1G1RR@1117|Cyanobacteria,1H70W@1150|Oscillatoriales",1117|Cyanobacteria,J,Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation,metG,"GO:0003674,GO:0003824,GO:0004812,GO:0004825,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006431,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576",6.1.1.10,ko:K01874,methionyl-tRNA synthetase [EC:6.1.1.10],"ko00450,ko00970,map00450,map00970",Significant
NODE_75272_length_233_cov_2.050562_1,1832.90617321181,-16.1937205591551,3.96460847803995e-26,203124.Tery_2210,1.0699999999999999e-34,109.4,131.0,"COG0237@1|root,COG0448@1|root,COG0237@2|Bacteria,COG0448@2|Bacteria,1G0CU@1117|Cyanobacteria,1H8A2@1150|Oscillatoriales",1117|Cyanobacteria,GH,Belongs to the phycobilisome linker protein family,apcE,"GO:0005575,GO:0005622,GO:0005623,GO:0009579,GO:0016020,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464",-,ko:K02096,phycobilisome core-membrane linker protein,"ko00196,ko01100,map00196,map01100",Significant
NODE_79640_length_229_cov_1.655172_1,1821.37950689016,-16.1869813276646,1.76895281402458e-25,203124.Tery_3032,1.6299999999999997e-42,,148.0,"COG2850@1|root,COG2850@2|Bacteria,1G20K@1117|Cyanobacteria,1H81F@1150|Oscillatoriales",1117|Cyanobacteria,S,A domain family that is part of the cupin metalloenzyme superfamily.,-,-,-,-,,-,Significant
NODE_18707_length_339_cov_3.380282_1,1818.5123797472,-16.1823699732522,8.64950754722335e-26,203124.Tery_4395,1.4700000000000001e-64,131.2,208.0,"COG0448@1|root,COG0448@2|Bacteria,1G0IG@1117|Cyanobacteria,1H7C1@1150|Oscillatoriales",1117|Cyanobacteria,H,"Catalyzes the synthesis of ADP-glucose, a sugar donor used in elongation reactions on alpha-glucans",glgC,-,2.7.7.27,ko:K00975,glucose-1-phosphate adenylyltransferase [EC:2.7.7.27],"ko00500,ko00520,ko01100,ko01110,ko02026,map00500,map00520,map01100,map01110,map02026",Significant
NODE_99130_length_211_cov_1.224359_1,1779.22308345076,-16.1519593071373,1.32744630937816e-26,203124.Tery_1837,1.04e-34,,131.0,"COG0296@1|root,COG0296@2|Bacteria,1G1IW@1117|Cyanobacteria,1H7G9@1150|Oscillatoriales",1117|Cyanobacteria,G,"Catalyzes the formation of the alpha-1,6-glucosidic linkages in glycogen by scission of a 1,4-alpha-linked oligosaccharide from growing alpha-1,4-glucan chains and the subsequent attachment of the oligosaccharide to the alpha-1,6 position",glgB,-,2.4.1.18,ko:K00700,,"ko00500,ko01100,ko01110,map00500,map01100,map01110",Significant
NODE_26565_length_290_cov_2.042553_1,1724.62662492846,-16.1080505967495,2.51590246728916e-26,203124.Tery_1780,1.54e-46,,157.0,"COG1612@1|root,COG1612@2|Bacteria,1G08Q@1117|Cyanobacteria,1H85G@1150|Oscillatoriales",1117|Cyanobacteria,O,cytochrome oxidase assembly,ctaA,-,-,ko:K02259,,"ko00190,ko00860,ko01100,ko01110,ko02020,ko04714,map00190,map00860,map01100,map01110,map02020,map04714",Significant
NODE_11554_length_420_cov_1.421918_1,1717.30081170581,-16.0999604136752,5.00532347679909e-25,203124.Tery_2147,1.1500000000000001e-33,68.7,127.0,"COG0297@1|root,COG0297@2|Bacteria,1G0PX@1117|Cyanobacteria,1H7WI@1150|Oscillatoriales",1117|Cyanobacteria,G,"Synthesizes alpha-1,4-glucan chains using ADP-glucose",glgA,"GO:0003674,GO:0003824,GO:0016740,GO:0016757",2.4.1.21,ko:K00703,starch synthase [EC:2.4.1.21],"ko00500,ko01100,ko01110,ko02026,map00500,map01100,map01110,map02026",Significant
NODE_11392_length_423_cov_1.975543_1,1704.24092522782,-16.0906117695089,2.52002467400528e-26,203124.Tery_3039,3.79e-54,,177.0,"COG4487@1|root,COG4487@2|Bacteria,1GEVR@1117|Cyanobacteria,1HI4H@1150|Oscillatoriales",1117|Cyanobacteria,I,mechanosensitive ion channel activity,-,-,-,-,,-,Significant
NODE_17688_length_347_cov_3.931507_1,1630.0067193475,-16.0245202645828,8.96275488748522e-26,203124.Tery_0761,6.26e-50,,160.0,"2CGIY@1|root,32XF8@2|Bacteria,1G81Q@1117|Cyanobacteria,1HC80@1150|Oscillatoriales",1117|Cyanobacteria,S,Domain of unknown function (DUF4359),-,-,-,-,,-,Significant
NODE_85747_length_223_cov_2.839286_1,1596.95155505791,-15.9955627352364,2.63688236869511e-24,203124.Tery_2705,5.31e-39,50.9,141.0,"COG0652@1|root,COG2931@1|root,COG0652@2|Bacteria,COG2931@2|Bacteria,1G41E@1117|Cyanobacteria,1H92T@1150|Oscillatoriales",1117|Cyanobacteria,OQ,Peptidyl-prolyl cis-trans isomerase,-,-,5.2.1.8,ko:K03768,peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8],-,Significant
NODE_8485_length_489_cov_1.928571_1,1581.42463649535,-15.9815329461812,8.59505747129422e-26,203124.Tery_2502,2.5000000000000002e-30,,114.0,"COG0539@1|root,COG0539@2|Bacteria,1G1ZQ@1117|Cyanobacteria,1H706@1150|Oscillatoriales",1117|Cyanobacteria,J,Ribosomal protein S1,rps1b,-,-,ko:K02945,,"ko03010,map03010",Significant
NODE_35516_length_273_cov_3.958716_1,1565.94733721297,-15.9682234783373,5.31906237127934e-26,203124.Tery_1310,5.41e-47,117.5,155.0,"COG0681@1|root,COG0681@2|Bacteria,1G519@1117|Cyanobacteria,1HAKR@1150|Oscillatoriales",1117|Cyanobacteria,U,Belongs to the peptidase S26 family,lepB,-,3.4.21.89,ko:K03100,signal peptidase I [EC:3.4.21.89],"ko02024,ko03060,map02024,map03060",Significant
NODE_68561_length_239_cov_2.081522_1,1540.83416383722,-15.9437942270548,1.08943820643161e-25,13035.Dacsa_1965,3.5e-35,89.9,132.0,"COG0469@1|root,COG0469@2|Bacteria,1G1IY@1117|Cyanobacteria",1117|Cyanobacteria,G,Belongs to the pyruvate kinase family,pykF,"GO:0003674,GO:0003824,GO:0004743,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016052,GO:0016053,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017144,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042866,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046939,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576",2.7.1.40,ko:K00873,pyruvate kinase [EC:2.7.1.40],"ko00010,ko00230,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04922,ko04930,ko05165,ko05203,ko05230,map00010,map00230,map00620,map01100,map01110,map01120,map01130,map01200,map01230,map04922,map04930,map05165,map05203,map05230",Significant
NODE_81814_length_227_cov_1.116279_1,1520.62416699873,-15.9243219637212,1.2389641846701e-25,203124.Tery_4450,5.51e-30,,108.0,"2E4ZU@1|root,32ZTF@2|Bacteria,1G9JR@1117|Cyanobacteria,1HD06@1150|Oscillatoriales",1117|Cyanobacteria,-,-,-,-,-,-,,-,Significant
NODE_95375_length_214_cov_1.446541_1,1517.38764125624,-15.9237430762668,8.56474947084574e-25,99598.Cal7507_3284,5.19e-11,64.7,63.9,"COG0004@1|root,COG0004@2|Bacteria,1G0S8@1117|Cyanobacteria,1HJT7@1161|Nostocales",1117|Cyanobacteria,U,PFAM Ammonium Transporter Family,amt1,-,-,ko:K03320,"ammonium transporter, Amt family",-,Significant
NODE_22436_length_312_cov_3.350195_2,4044.23922081789,-15.9035209087765,9.836541473583601e-26,1511.CLOST_2177,4.6799999999999994e-23,94.4,94.4,"COG0563@1|root,COG0563@2|Bacteria,1TP27@1239|Firmicutes,247YN@186801|Clostridia,25QQK@186804|Peptostreptococcaceae",186801|Clostridia,F,Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism,adk,-,2.7.4.3,ko:K00939,adenylate kinase [EC:2.7.4.3],"ko00230,ko00730,ko01100,ko01110,ko01130,map00230,map00730,map01100,map01110,map01130",Significant
NODE_70727_length_237_cov_2.076923_2,1481.57495205819,-15.8889305025838,5.2842273502718e-23,313612.L8106_12915,4.47e-07,,50.4,"COG0454@1|root,COG0454@2|Bacteria,1G5WH@1117|Cyanobacteria,1HB1U@1150|Oscillatoriales",1117|Cyanobacteria,K,PFAM Acetyltransferase (GNAT) family,wecD,-,-,-,,-,Significant
NODE_17290_length_351_cov_1.293919_1,3986.39304165414,-15.8822088908533,6.486900526137201e-26,203124.Tery_2310,1.76e-66,127.5,212.0,"COG0505@1|root,COG0505@2|Bacteria,1G19V@1117|Cyanobacteria,1H8WM@1150|Oscillatoriales",1117|Cyanobacteria,F,Belongs to the CarA family,carA,"GO:0000050,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005951,GO:0006082,GO:0006520,GO:0006525,GO:0006526,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0019627,GO:0019752,GO:0032991,GO:0034641,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0071704,GO:0071941,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1902494",6.3.5.5,ko:K01956,carbamoyl-phosphate synthase small subunit [EC:6.3.5.5],"ko00240,ko00250,ko01100,map00240,map00250,map01100",Significant
