baseMean,log2FoldChange,padj,seed_ortholog,evalue,evalue,score,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KO definition,KEGG_Pathway,significant
24554.7083600984,-14.3536258510786,1.44688252503271e-42,203124.Tery_2046,,6.58e-75,103.6,230.0,"COG1525@1|root,COG1525@2|Bacteria,1G6B2@1117|Cyanobacteria,1HBJH@1150|Oscillatoriales",1117|Cyanobacteria,L,Staphylococcal nuclease homologues,-,-,-,-,micrococcal nuclease [EC:3.1.31.1],-,Significant
382.524862609332,-13.951233550025,8.065203368990429e-18,203124.Tery_1692,,4.6e-43,,147.0,"COG3315@1|root,COG3315@2|Bacteria,1G5DY@1117|Cyanobacteria,1HG85@1150|Oscillatoriales",1117|Cyanobacteria,Q,Leucine carboxyl methyltransferase,-,-,-,-,,-,Significant
379.475236081192,-13.9356826582747,4.3708529755149294e-18,98439.AJLL01000100_gene542,,3.5e-38,82.4,137.0,"COG1208@1|root,COG1208@2|Bacteria,1G168@1117|Cyanobacteria,1JJGS@1189|Stigonemataceae",1117|Cyanobacteria,JM,Nucleotidyl transferase,cugP,"GO:0000166,GO:0001882,GO:0001884,GO:0002134,GO:0003674,GO:0003824,GO:0003983,GO:0005488,GO:0006011,GO:0006139,GO:0006725,GO:0006793,GO:0006807,GO:0008150,GO:0008152,GO:0009225,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0019103,GO:0032549,GO:0032551,GO:0032553,GO:0032557,GO:0034641,GO:0036094,GO:0043167,GO:0043168,GO:0044237,GO:0044238,GO:0044281,GO:0046483,GO:0051748,GO:0055086,GO:0070569,GO:0071704,GO:0097159,GO:0097367,GO:1901135,GO:1901265,GO:1901360,GO:1901363","2.7.7.13,5.4.2.8","ko:K00966,ko:K16881",mannose-1-phosphate guanylyltransferase / phosphomannomutase [EC:2.7.7.13 5.4.2.8],"ko00051,ko00520,ko01100,ko01110,ko01130,map00051,map00520,map01100,map01110,map01130",Significant
1282.04123678335,-13.2772309428613,1.27699964817617e-31,203124.Tery_4304,,1.81e-43,,158.0,"COG1262@1|root,COG1262@2|Bacteria,1G0ZT@1117|Cyanobacteria,1H92Y@1150|Oscillatoriales",1117|Cyanobacteria,T,PFAM Formylglycine-generating sulfatase enzyme,-,-,-,-,,-,Significant
192.669322369315,-12.9701252858836,4.5273251699659e-14,203124.Tery_3214,,2.02e-37,,136.0,"COG1020@1|root,COG1020@2|Bacteria,1G2QF@1117|Cyanobacteria,1HD5R@1150|Oscillatoriales",1117|Cyanobacteria,Q,Condensation domain,-,-,-,-,,-,Significant
165.884231388672,-12.7443585400514,9.897988982349632e-15,203124.Tery_0570,,1.05e-19,,87.0,"COG3210@1|root,COG4995@1|root,COG3210@2|Bacteria,COG4995@2|Bacteria,1G08N@1117|Cyanobacteria,1H74U@1150|Oscillatoriales",1117|Cyanobacteria,U,TIGRFAM filamentous haemagglutinin family outer membrane protein,-,-,-,-,,-,Significant
142.653197933495,-12.5297305323957,5.6567063653489304e-14,203124.Tery_4452,,1.39e-09,,57.8,"COG1672@1|root,COG1672@2|Bacteria,1G5IV@1117|Cyanobacteria,1HATH@1150|Oscillatoriales",1117|Cyanobacteria,T,Nacht domain,-,-,-,-,,-,Significant
756.286760135457,-12.521404770504,1.9360901476134e-25,203124.Tery_4304,,1.13e-39,,146.0,"COG1262@1|root,COG1262@2|Bacteria,1G0ZT@1117|Cyanobacteria,1H92Y@1150|Oscillatoriales",1117|Cyanobacteria,T,PFAM Formylglycine-generating sulfatase enzyme,-,-,-,-,,-,Significant
134.165056257906,-12.4468778279651,7.54959474949437e-15,1128427.KB904821_gene4334,,2.12e-17,68.7,83.2,"COG2114@1|root,COG2770@1|root,COG2114@2|Bacteria,COG2770@2|Bacteria,1G11G@1117|Cyanobacteria,1H9NK@1150|Oscillatoriales",1117|Cyanobacteria,T,PFAM Adenylate and Guanylate cyclase catalytic domain,-,-,-,-,"two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]",-,Significant
15401.3880990362,-12.2785559565858,7.826762375443621e-97,203124.Tery_1975,,1.97e-98,,319.0,"COG3210@1|root,COG4995@1|root,COG3210@2|Bacteria,COG4995@2|Bacteria,1G08N@1117|Cyanobacteria,1H74U@1150|Oscillatoriales",1117|Cyanobacteria,U,TIGRFAM filamentous haemagglutinin family outer membrane protein,-,-,-,-,,-,Significant
96.3660128277791,-11.9497614684542,2.19346168672248e-08,203124.Tery_1046,4.24e-13,8.74e-78,,231.0,"2DGS4@1|root,2ZX30@2|Bacteria,1G5U7@1117|Cyanobacteria,1HB2H@1150|Oscillatoriales",1117|Cyanobacteria,S,Protein of unknown function (DUF1257),-,-,-,-,,-,Significant
79.7211965574714,-11.6773167338664,6.22235951678276e-10,203124.Tery_3459,,6.55e-10,,58.9,"COG0823@1|root,COG3209@1|root,COG0823@2|Bacteria,COG3209@2|Bacteria,1GQZD@1117|Cyanobacteria",1117|Cyanobacteria,M,Involved in the tonB-independent uptake of proteins,-,-,-,-,,-,Significant
531.502983889149,-11.4421391582909,6.46409040155243e-28,203124.Tery_2498,,2.8999999999999996e-68,,229.0,"COG1413@1|root,COG5635@1|root,COG1413@2|Bacteria,COG5635@2|Bacteria,1G1Y8@1117|Cyanobacteria,1H969@1150|Oscillatoriales",1117|Cyanobacteria,CT,Nacht domain,-,-,-,-,,-,Significant
67.276030939433,-11.4283325318621,4.3193120517217e-09,203124.Tery_2671,,1.9e-08,,55.1,"COG0457@1|root,COG4995@1|root,COG0457@2|Bacteria,COG4995@2|Bacteria,1G135@1117|Cyanobacteria,1H7GW@1150|Oscillatoriales",1117|Cyanobacteria,O,Tetratricopeptide repeat,-,-,-,-,,-,Significant
2236.84710298153,-11.0030915545401,3.87009278995947e-53,203124.Tery_2618,,4.31e-80,65.0,256.0,"COG0265@1|root,COG1196@1|root,COG0265@2|Bacteria,COG1196@2|Bacteria,1G85B@1117|Cyanobacteria,1HI54@1150|Oscillatoriales",1117|Cyanobacteria,DO,GUN4-like,-,-,-,-,serine protease Do [EC:3.4.21.107],-,Significant
231.517577322623,-10.9307738836404,0.0161652508135442,203124.Tery_3459,,5.72e-28,,111.0,"COG0823@1|root,COG3209@1|root,COG0823@2|Bacteria,COG3209@2|Bacteria,1GQZD@1117|Cyanobacteria",1117|Cyanobacteria,M,Involved in the tonB-independent uptake of proteins,-,-,-,-,,-,Significant
35.2204842797537,-10.5222411031468,9.09846831261895e-08,203124.Tery_3263,,2.77e-12,,64.3,"COG4122@1|root,COG4122@2|Bacteria,1G2Y6@1117|Cyanobacteria,1H74J@1150|Oscillatoriales",1117|Cyanobacteria,S,PFAM O-methyltransferase,-,-,2.1.1.104,ko:K00588,,"ko00360,ko00940,ko00941,ko00945,ko01100,ko01110,map00360,map00940,map00941,map00945,map01100,map01110",Significant
33.0417750692832,-10.395819958266,1.05343129162843e-07,99598.Cal7507_5672,,5.22e-26,44.8,105.0,"COG0515@1|root,COG1262@1|root,COG0515@2|Bacteria,COG1262@2|Bacteria,1FZWQ@1117|Cyanobacteria,1HKIQ@1161|Nostocales",1117|Cyanobacteria,KLT,PFAM Protein kinase domain,-,-,-,-,formylglycine-generating enzyme [EC:1.8.3.7],-,Significant
28.0746764506105,-10.1715853080542,1.16625782818344e-07,203124.Tery_3830,,5.54e-07,,50.4,"COG3210@1|root,COG4995@1|root,COG3210@2|Bacteria,COG4995@2|Bacteria,1G08N@1117|Cyanobacteria,1H74U@1150|Oscillatoriales",1117|Cyanobacteria,U,TIGRFAM filamentous haemagglutinin family outer membrane protein,-,-,-,-,,-,Significant
26.1193663443413,-10.0972364746452,1.9782889252391e-05,41431.PCC8801_3088,,3.83e-09,,56.2,"COG5635@1|root,COG5635@2|Bacteria,1GQ5R@1117|Cyanobacteria",1117|Cyanobacteria,T,NACHT domain,-,-,-,-,,-,Significant
25.7091986622784,-10.0542549515589,1.23267992605815e-07,203124.Tery_3798,,1.74e-12,,66.2,"COG1100@1|root,COG4886@1|root,COG1100@2|Bacteria,COG4886@2|Bacteria,1G05B@1117|Cyanobacteria,1H6Y6@1150|Oscillatoriales",1117|Cyanobacteria,S,COG4886 Leucine-rich repeat (LRR) protein,-,-,-,-,,-,Significant
24.8593327605059,-10.0205163029544,5.50155503965835e-06,203124.Tery_0570,,1.02e-30,,120.0,"COG3210@1|root,COG4995@1|root,COG3210@2|Bacteria,COG4995@2|Bacteria,1G08N@1117|Cyanobacteria,1H74U@1150|Oscillatoriales",1117|Cyanobacteria,U,TIGRFAM filamentous haemagglutinin family outer membrane protein,-,-,-,-,,-,Significant
25.3376498616252,-10.0065306808017,7.41574321973732e-06,203124.Tery_2211,,7.93e-42,,143.0,"COG1100@1|root,COG1100@2|Bacteria,1G4CV@1117|Cyanobacteria,1HAC8@1150|Oscillatoriales",2|Bacteria,S,Small GTP-binding protein,-,-,-,-,,-,Significant
21.3117088132822,-9.75362119919408,0.0001817629299783,203124.Tery_1048,1.81e-05,1.11e-75,,226.0,"2C023@1|root,32SXM@2|Bacteria,1G7VT@1117|Cyanobacteria,1HBU7@1150|Oscillatoriales",1117|Cyanobacteria,-,-,-,-,-,-,,-,Significant
19.0226779737118,-9.58977109480164,6.55007109702697e-05,203124.Tery_1046,1.26e-38,8.74e-78,,231.0,"2DGS4@1|root,2ZX30@2|Bacteria,1G5U7@1117|Cyanobacteria,1HB2H@1150|Oscillatoriales",1117|Cyanobacteria,S,Protein of unknown function (DUF1257),-,-,-,-,,-,Significant
477.457096407122,-9.39084580132723,8.13578436014192e-21,203124.Tery_3262,,8.93e-38,,140.0,"COG0457@1|root,COG4995@1|root,COG0457@2|Bacteria,COG4995@2|Bacteria,1G1QI@1117|Cyanobacteria,1H7BP@1150|Oscillatoriales",1117|Cyanobacteria,NU,TPR repeat,-,-,-,-,,-,Significant
15.7114302061345,-9.36051541952705,0.0009231542090599,203124.Tery_3262,,5.46e-10,,58.9,"COG0457@1|root,COG4995@1|root,COG0457@2|Bacteria,COG4995@2|Bacteria,1G1QI@1117|Cyanobacteria,1H7BP@1150|Oscillatoriales",1117|Cyanobacteria,NU,TPR repeat,-,-,-,-,,-,Significant
833.265266905505,-9.29864284139794,2.1607722009743503e-15,981085.XP_010104773.1,,2.11e-25,,100.0,"2D340@1|root,2S4ZM@2759|Eukaryota,37WJF@33090|Viridiplantae,3GKNG@35493|Streptophyta,4JV01@91835|fabids",35493|Streptophyta,-,-,-,-,-,-,,-,Significant
14.9760444895185,-9.26185989716755,0.0485740362167143,2002.JOEQ01000087_gene566,,0.00033,,42.7,"COG2319@1|root,COG2319@2|Bacteria,2GJN3@201174|Actinobacteria",201174|Actinobacteria,F,WD-40 repeat,-,-,-,-,,-,Significant
13.7124215325816,-9.12369705942898,0.0014077757189942,203124.Tery_1906,,5.58e-09,,56.2,"COG3391@1|root,COG3391@2|Bacteria,1G0EB@1117|Cyanobacteria,1H803@1150|Oscillatoriales",1117|Cyanobacteria,G,PFAM Na-Ca exchanger integrin-beta4 peptidase-like FG-GAP,-,-,-,ko:K20276,,"ko02024,map02024",Significant
13.3158821462388,-9.07407163447606,0.0022359746214476,203124.Tery_3459,,9.6e-08,,53.5,"COG0823@1|root,COG3209@1|root,COG0823@2|Bacteria,COG3209@2|Bacteria,1GQZD@1117|Cyanobacteria",1117|Cyanobacteria,M,Involved in the tonB-independent uptake of proteins,-,-,-,-,,-,Significant
443.843705068733,-8.97399205747116,7.10835181605051e-20,203124.Tery_3571,,3.34e-39,,150.0,"COG1413@1|root,COG5635@1|root,COG1413@2|Bacteria,COG5635@2|Bacteria,1G1Y8@1117|Cyanobacteria,1H969@1150|Oscillatoriales",1117|Cyanobacteria,CT,Nacht domain,-,-,-,-,,-,Significant
1962.29623074452,-8.86256279774804,7.47089045248022e-45,59931.WH7805_05191,,3.73e-12,,68.9,"COG2931@1|root,COG3209@1|root,COG4412@1|root,COG2931@2|Bacteria,COG3209@2|Bacteria,COG4412@2|Bacteria,1GHF4@1117|Cyanobacteria,1GZ5H@1129|Synechococcus",1117|Cyanobacteria,Q,Tryptophan-rich Synechocystis species C-terminal domain,-,-,-,-,,-,Significant
30.2610402235998,-8.75844784581329,0.0012177277350114,203124.Tery_2471,,1.92e-11,,63.2,"COG1672@1|root,COG2319@1|root,COG4249@1|root,COG1672@2|Bacteria,COG2319@2|Bacteria,COG4249@2|Bacteria,1FZVW@1117|Cyanobacteria,1H7FN@1150|Oscillatoriales",1117|Cyanobacteria,KLT,"WD domain, G-beta repeat",-,-,2.7.11.1,ko:K12132,,-,Significant
89.4637796951966,-8.75707735008451,2.84950990310337e-12,203124.Tery_2671,,1.19e-08,,55.1,"COG0457@1|root,COG4995@1|root,COG0457@2|Bacteria,COG4995@2|Bacteria,1G135@1117|Cyanobacteria,1H7GW@1150|Oscillatoriales",1117|Cyanobacteria,O,Tetratricopeptide repeat,-,-,-,-,,-,Significant
10.3366396923726,-8.69937388605701,0.0001238891032709,203124.Tery_1098,,9.580000000000001e-31,54.2,115.0,"COG1442@1|root,COG1442@2|Bacteria,1G8ZB@1117|Cyanobacteria,1HDK9@1150|Oscillatoriales",1117|Cyanobacteria,M,"PFAM Glycosyl transferase, family 8",-,-,-,-,"UDP-glucose/galactose:(glucosyl)LPS alpha-1,2-glucosyl/galactosyltransferase [EC:2.4.1.-]",-,Significant
9.6730159198146,-8.66553312464184,0.0039333676214645,203124.Tery_3869,,1.08e-14,,72.8,"COG1672@1|root,COG2319@1|root,COG4249@1|root,COG1672@2|Bacteria,COG2319@2|Bacteria,COG4249@2|Bacteria,1FZVW@1117|Cyanobacteria,1H7FN@1150|Oscillatoriales",1117|Cyanobacteria,KLT,"WD domain, G-beta repeat",-,-,2.7.11.1,ko:K12132,,-,Significant
24.1088567446965,-8.51873582753281,8.13699708159637e-06,1128427.KB904821_gene1020,,0.000105,46.5,45.8,"COG0457@1|root,COG4995@1|root,COG0457@2|Bacteria,COG4995@2|Bacteria,1G135@1117|Cyanobacteria,1H8D7@1150|Oscillatoriales",1117|Cyanobacteria,M,Tetratricopeptide repeat,-,-,-,-,G-protein signaling modulator 2,-,Significant
8.45579810350072,-8.47404696279189,0.0047099414349032,203124.Tery_3869,,1.12e-08,,55.1,"COG1672@1|root,COG2319@1|root,COG4249@1|root,COG1672@2|Bacteria,COG2319@2|Bacteria,COG4249@2|Bacteria,1FZVW@1117|Cyanobacteria,1H7FN@1150|Oscillatoriales",1117|Cyanobacteria,KLT,"WD domain, G-beta repeat",-,-,2.7.11.1,ko:K12132,,-,Significant
8.36209168014745,-8.45798418894252,0.0073051068052559,203124.Tery_1256,,9.26e-08,,50.4,"COG2963@1|root,COG2963@2|Bacteria",2|Bacteria,L,transposase activity,-,-,-,"ko:K07483,ko:K07497",,-,Significant
452.171969334378,-8.43998167924422,1.03467427707261e-08,203124.Tery_3359,,2.28e-11,,62.8,"COG0823@1|root,COG1404@1|root,COG0823@2|Bacteria,COG1404@2|Bacteria,1G7AR@1117|Cyanobacteria",1117|Cyanobacteria,O,PFAM FG-GAP repeat,-,-,-,-,,-,Significant
137.314686169418,-8.34577100396384,6.8476912163905106e-09,203124.Tery_3571,,1.66e-13,,70.1,"COG1413@1|root,COG5635@1|root,COG1413@2|Bacteria,COG5635@2|Bacteria,1G1Y8@1117|Cyanobacteria,1H969@1150|Oscillatoriales",1117|Cyanobacteria,CT,Nacht domain,-,-,-,-,,-,Significant
22.0179215632709,-8.29635203822382,0.0073279564999641,203124.Tery_4959,,2.37e-12,,65.9,"COG0457@1|root,COG4995@1|root,COG0457@2|Bacteria,COG4995@2|Bacteria,1G15Q@1117|Cyanobacteria,1H7TC@1150|Oscillatoriales",2|Bacteria,L,tpr repeat,-,-,-,-,,-,Significant
75.5704455321738,-8.28862509323288,1.50665912045863e-05,203124.Tery_0977,,4.06e-15,,73.9,"COG0457@1|root,COG4995@1|root,COG0457@2|Bacteria,COG4995@2|Bacteria,1G1QI@1117|Cyanobacteria,1H7BP@1150|Oscillatoriales",1117|Cyanobacteria,NU,TPR repeat,-,-,-,-,,-,Significant
7.30962528485715,-8.27432950845289,0.005430780613822,203124.Tery_1047,1.03e-89,0.0,143.4,961.0,"COG0464@1|root,COG0464@2|Bacteria,1G04V@1117|Cyanobacteria,1H82W@1150|Oscillatoriales",1117|Cyanobacteria,O,PFAM ATPase family associated with various cellular activities (AAA),-,-,-,-,transitional endoplasmic reticulum ATPase,-,Significant
2798.89439735382,-8.02823388466488,1.41689071715935e-39,203124.Tery_1975,,7.5400000000000005e-47,,167.0,"COG3210@1|root,COG4995@1|root,COG3210@2|Bacteria,COG4995@2|Bacteria,1G08N@1117|Cyanobacteria,1H74U@1150|Oscillatoriales",1117|Cyanobacteria,U,TIGRFAM filamentous haemagglutinin family outer membrane protein,-,-,-,-,,-,Significant
62.7978053153638,-8.01971368455247,0.0001454437616375,203124.Tery_3964,,3.43e-11,,62.4,"COG0823@1|root,COG1520@1|root,COG0823@2|Bacteria,COG1520@2|Bacteria,1G08F@1117|Cyanobacteria,1H8J6@1150|Oscillatoriales",1117|Cyanobacteria,Q,Domain of unknown function (DUF4347),-,-,-,-,,-,Significant
6.07893346258736,-8.00872358402074,0.0102101411068457,489825.LYNGBM3L_60840,,1.06e-10,,61.2,"COG0457@1|root,COG0457@2|Bacteria,1G15Q@1117|Cyanobacteria,1H7TC@1150|Oscillatoriales",489825.LYNGBM3L_60840|-,L,tpr repeat,-,-,-,-,,-,Significant
355.645619635098,-7.78690663968341,9.05115416807282e-32,203124.Tery_3923,,5.32e-78,,258.0,"COG0457@1|root,COG1672@1|root,COG2319@1|root,COG0457@2|Bacteria,COG1672@2|Bacteria,COG2319@2|Bacteria,1FZVW@1117|Cyanobacteria,1H7TA@1150|Oscillatoriales",1117|Cyanobacteria,M,Wd40 repeat-containing protein,-,-,-,-,,-,Significant
4.888496026076,-7.61210194211699,0.0321813595037907,203124.Tery_4454,,1.9799999999999998e-23,,98.2,"COG1672@1|root,COG1672@2|Bacteria,1G2YT@1117|Cyanobacteria,1H8BR@1150|Oscillatoriales",1117|Cyanobacteria,S,Pfam:Arch_ATPase,-,-,-,-,,-,Significant
759295.354378834,-7.55087352564458,7.00583859886037e-39,203124.Tery_2977,0.0,0.0,441.9,908.0,"COG0337@1|root,COG0337@2|Bacteria,1G0Q7@1117|Cyanobacteria,1H711@1150|Oscillatoriales",1117|Cyanobacteria,E,PFAM 3-dehydroquinate synthase,-,-,"4.2.3.152,4.2.3.154,4.2.3.4","ko:K01735,ko:K19969,ko:K21342",demethyl-4-deoxygadusol synthase [EC:4.2.3.154],"ko00400,ko00525,ko01100,ko01110,ko01130,ko01230,map00400,map00525,map01100,map01110,map01130,map01230",Significant
45.2436842209498,-7.53967558257674,1.94450593205545e-06,489825.LYNGBM3L_60840,,6.62e-13,,70.5,"COG0457@1|root,COG0457@2|Bacteria,1G15Q@1117|Cyanobacteria,1H7TC@1150|Oscillatoriales",489825.LYNGBM3L_60840|-,L,tpr repeat,-,-,-,-,,-,Significant
4.17517899986858,-7.46367098763451,0.0342993789814995,1128427.KB904821_gene1020,,2.12e-05,54.5,48.5,"COG0457@1|root,COG4995@1|root,COG0457@2|Bacteria,COG4995@2|Bacteria,1G135@1117|Cyanobacteria,1H8D7@1150|Oscillatoriales",1117|Cyanobacteria,M,Tetratricopeptide repeat,-,-,-,-,G-protein signaling modulator 2,-,Significant
94.1861493287754,-7.36276093542555,9.058380834388601e-10,272134.KB731324_gene4853,,2.65e-13,,66.6,"COG0494@1|root,COG0494@2|Bacteria,1G22W@1117|Cyanobacteria,1H7UC@1150|Oscillatoriales",1117|Cyanobacteria,L,PFAM NUDIX domain,-,-,3.6.1.13,ko:K01515,,"ko00230,map00230",Significant
1585.38563454203,-7.1283121112005,9.91937488880908e-43,203124.Tery_0570,,5.88e-20,,89.4,"COG3210@1|root,COG4995@1|root,COG3210@2|Bacteria,COG4995@2|Bacteria,1G08N@1117|Cyanobacteria,1H74U@1150|Oscillatoriales",1117|Cyanobacteria,U,TIGRFAM filamentous haemagglutinin family outer membrane protein,-,-,-,-,,-,Significant
865.187510965542,-7.10969068622853,7.20533050888086e-38,203124.Tery_0572,,5.54e-18,,83.6,"COG3210@1|root,COG4995@1|root,COG3210@2|Bacteria,COG4995@2|Bacteria,1G08N@1117|Cyanobacteria,1H74U@1150|Oscillatoriales",1117|Cyanobacteria,U,TIGRFAM filamentous haemagglutinin family outer membrane protein,-,-,-,-,,-,Significant
31.9691483300879,-7.00548174199202,4.63869420539322e-05,489825.LYNGBM3L_60840,,3.76e-12,,65.9,"COG0457@1|root,COG0457@2|Bacteria,1G15Q@1117|Cyanobacteria,1H7TC@1150|Oscillatoriales",489825.LYNGBM3L_60840|-,L,tpr repeat,-,-,-,-,,-,Significant
203.803702147161,-6.94102403063141,2.77122168900654e-07,203124.Tery_3459,,2.51e-12,,66.2,"COG0823@1|root,COG3209@1|root,COG0823@2|Bacteria,COG3209@2|Bacteria,1GQZD@1117|Cyanobacteria",1117|Cyanobacteria,M,Involved in the tonB-independent uptake of proteins,-,-,-,-,,-,Significant
51693.0769580845,-6.93709637179488,1.70460445671592e-31,203124.Tery_0650,,6.64e-279,,764.0,"COG2197@1|root,COG2197@2|Bacteria,1G0JW@1117|Cyanobacteria,1H6ZF@1150|Oscillatoriales",1117|Cyanobacteria,KT,response regulator,-,-,-,-,,-,Significant
14.1222995285927,-6.85095167409987,0.0295768050917216,203124.Tery_3964,,2.61e-12,,65.9,"COG0823@1|root,COG1520@1|root,COG0823@2|Bacteria,COG1520@2|Bacteria,1G08F@1117|Cyanobacteria,1H8J6@1150|Oscillatoriales",1117|Cyanobacteria,Q,Domain of unknown function (DUF4347),-,-,-,-,,-,Significant
13.2248826746607,-6.72282632420384,0.0090811625684498,203124.Tery_4959,,8.16e-10,,58.5,"COG0457@1|root,COG4995@1|root,COG0457@2|Bacteria,COG4995@2|Bacteria,1G15Q@1117|Cyanobacteria,1H7TC@1150|Oscillatoriales",2|Bacteria,L,tpr repeat,-,-,-,-,,-,Significant
64218.4553376049,-6.72280015541619,6.804387058476191e-58,203124.Tery_3938,0.0,1.8000000000000002e-44,,144.0,"2E5NC@1|root,330D4@2|Bacteria,1G928@1117|Cyanobacteria,1HCVB@1150|Oscillatoriales",1117|Cyanobacteria,-,-,-,-,-,-,,-,Significant
12.5366895187648,-6.6025124842934,0.0012223169218193,203124.Tery_1047,,0.0,143.4,961.0,"COG0464@1|root,COG0464@2|Bacteria,1G04V@1117|Cyanobacteria,1H82W@1150|Oscillatoriales",1117|Cyanobacteria,O,PFAM ATPase family associated with various cellular activities (AAA),-,-,-,-,transitional endoplasmic reticulum ATPase,-,Significant
22.3559530147763,-6.55038206882322,0.0024841938896337,203124.Tery_3497,,4.7099999999999995e-25,,102.0,"COG0457@1|root,COG4995@1|root,COG0457@2|Bacteria,COG4995@2|Bacteria,1G1QI@1117|Cyanobacteria,1H7BP@1150|Oscillatoriales",1117|Cyanobacteria,NU,TPR repeat,-,-,-,-,,-,Significant
278.707835234958,-6.52905261836425,3.45033625257227e-13,203124.Tery_4420,,1.72e-16,,78.6,"COG0823@1|root,COG2911@1|root,COG0823@2|Bacteria,COG2911@2|Bacteria",2|Bacteria,S,protein secretion,-,-,-,-,,-,Significant
11.1656079996646,-6.51588179882349,0.0115996049283605,203124.Tery_3869,,3.83e-06,,48.1,"COG1672@1|root,COG2319@1|root,COG4249@1|root,COG1672@2|Bacteria,COG2319@2|Bacteria,COG4249@2|Bacteria,1FZVW@1117|Cyanobacteria,1H7FN@1150|Oscillatoriales",1117|Cyanobacteria,KLT,"WD domain, G-beta repeat",-,-,2.7.11.1,ko:K12132,,-,Significant
